"Max Seismic Exert AoE",最大【震地战吼】增助范围
"Avg Seismic Exert AoE",平均【震地战吼】增助范围
"Maximum of:",最大:
"Ancestral Cry Uptime",【先祖战吼】增助效果覆盖率
"Infernal Cry Uptime",【炼狱呼嚎】增助效果覆盖率
"Intimidating Cry Uptime",【威吓战吼】增助效果覆盖率
"Rallying Cry Uptime",【激励战吼】增助效果覆盖率
"Seismic Cry Uptime",【震地战吼】增助效果覆盖率
"Exerted Attacks",增助攻击
"Exerted Attack Damage",增助攻击伤害
"Uptime Scaled Exerted Attacks",增助效果覆盖率加成后增助攻击
"Uptime Scaled Exerted Attack Damage",增助效果覆盖率加成后增助攻击伤害
"average exerted damage",平均增助伤害
"second per attack",每秒攻击次数
"fist of war cooldown",【战争铁拳】冷却时间
"fist of war hit multiplier",【战争铁拳】击中加成
"fist of war uptime ratio",【战争铁拳】使用速率
"Explosive Arrow",爆炸箭矢
"increased/reduced",提高/降低
"more/less",额外总提高/额外总降低
"crit chance",暴击几率
"Crit is overcapped by",暴击几率溢出
"%d%% increased Critical Strike Chance",等同词缀“提高暴击几率 %d%%
"increased Critical Strike Chance",提高暴击几率
"Crit confirmation roll",暴击确认
"chance to hit",命中率
"additional extra damage",额外伤害
"increased/reduced extra crit damage taken by enemy",敌人承受额外暴击伤害的提高/降低 
"extra crit damage",额外暴击伤害
